soc_code,occupation_name,communication,danger,experience,interaction_complexity,pace_of_work,physicality,uncertain_decisions,variety,category_name,num_employed,mean_annual_wage,med_annual_wage
111011,Chief Executives,0.5500118599323419,-0.5097455561366862,0.5019384699265218,1.1642922806021971,-0.11477470159509805,-0.7241196926410899,2.411378603974742,0.5982194350299856,Management Occupations,2891.012658227848,200269.84536082475,169287.1923076923
111021,General and Operations Managers,0.7710765768073072,-0.30991190388734163,0.5194132953026113,1.883329239326669,0.004275110185210343,-0.4005660144147434,1.8886478342592856,1.7445507183594335,Management Occupations,25788.15144766147,120918.1737193764,101717.99554565702
112021,Marketing Managers,-0.02949963075126872,-0.5587457465963367,0.4274169369215988,2.5509986791914083,-0.0807020430280271,-0.8833676339368757,2.1089154896379254,1.3454366617220848,Management Occupations,3166.101694915254,129396.92528735632,117437.95977011495
112022,Sales Managers,1.4406917444726146,-0.43455560870722215,0.48453735952194293,3.3546526920656223,0.2134496411716416,-0.5544093667140357,1.848538952253053,2.0523444664034587,Management Occupations,5057.1621621621625,127374.36464088398,112496.80555555556
112031,Public Relations and Fundraising Managers,0.6260048635530373,-0.5181938648366259,-0.4546637737690525,-0.6893620273423597,0.06310544702514446,-0.35826997292908924,-0.9643878790258152,-0.8958830757728002,Management Occupations,1832.0,125821.11650485436,112109.46341463414
113011,Administrative Services Managers,1.2923948055161332,-0.5165042030966379,0.4887685019367832,0.4815177096710919,0.33437866689817203,-0.5337122437291572,1.7759609752893943,0.530155398013166,Management Occupations,3689.0975609756097,100157.50629722922,91081.15869017632
113021,Computer and Information Systems Managers,0.5425300712103239,-0.7243325971151559,0.3203866049719005,2.0566362798846303,0.08925226339844823,-0.8846643943367378,1.9941881014412024,0.4801233934034909,Management Occupations,5435.983146067416,133400.22535211267,125592.19718309859
113031,Financial Managers,0.7790694551049724,-0.6806830021654673,0.34246778817347684,1.8030068248769482,0.15788765637837068,-0.9234273555337932,1.811667256582779,-0.4027733129151293,Management Occupations,7149.784172661871,132570.02457002457,118120.61425061425
113061,Purchasing Managers,-1.6323694025357631,-0.93554031461365,-0.36803783706837867,-1.3715103557664914,0.4487709885313764,-1.105676872486741,1.8620777756389144,-0.8958830757728002,Management Occupations,1235.7190635451504,114183.72881355933,107159.55932203389
113121,Human Resources Managers,0.792591242843522,-0.6533668040356619,0.34067851741737265,1.8229492371767548,0.1611560084250339,-0.9855053060677786,1.4448872731053757,0.026947586904486613,Management Occupations,2009.1553133514985,115793.76731301939,105641.13573407203
113131,Training and Development Managers,0.07676752443209578,-0.93554031461365,-1.3241635400187357,-1.3716753887852102,-1.5057035353730883,-1.1450309231213711,1.6360995867665808,-0.8958830757728002,Management Occupations,783.109243697479,112476.62337662338,103709.04761904762
119021,Construction Managers,-0.2905941626942121,0.9050704678729132,0.3958938326794153,0.908276062476712,-0.2669981096878172,0.6953337647650805,1.817024830676728,1.2130847190268912,Management Occupations,7946.114285714286,103930.90395480226,96012.14689265536
119032,"Education Administrators, Elementary and Secondary School",-0.08971015467809207,-0.28296264888564804,-0.36803783706837867,1.9508333924707373,0.2134496411716416,-0.1909365131319618,1.9802817513567503,1.3905817923093862,Management Occupations,41576.17021276596,89231.76470588235,85464.90196078431
119033,"Education Administrators, Postsecondary",-0.1793187092263748,-0.6018321209660294,-0.8798935864605033,2.2489630556677183,0.5827734224445588,-0.7106643961675383,1.7403972123999658,0.7543239497674545,Management Occupations,17548.360655737706,105889.83606557376,93295.40983606558
119041,Architectural and Engineering Managers,-0.009360295238887073,-0.4531418878470896,1.9802717439258195,0.4784534838717962,-1.5057035353730883,-0.7147585927790326,2.174970652539069,-0.8958830757728002,Management Occupations,4240.79295154185,140595.30701754385,132710.35087719298
119051,Food Service Managers,0.650445397359764,0.9886489222764321,0.8931808607297345,0.10427011769738914,1.626284493789076,-0.18425759657813065,1.7836007623382004,0.15414125595384853,Management Occupations,8661.89393939394,64829.318181818184,59983.86363636364
119111,Medical and Health Services Managers,0.2355289930428383,-0.4600125344606317,0.3330914315325577,1.828808825454241,-0.1362640278212978,-0.5096618701190027,1.4866063233587297,0.5749339738979277,Management Occupations,14736.197183098591,115838.20143884892,100830.80291970803
119141,"Property, Real Estate, and Community Association Managers",0.2439731603391945,-0.26136528035845713,0.0009526423750718767,1.155370017012322,-0.0186033541414302,-0.25547473135481685,0.28633273442016144,0.5411347596572268,Management Occupations,5458.413793103448,89918.28571428571,79986.21428571429
119151,Social and Community Service Managers,-0.4118254211981704,-0.3872450799875596,-0.3565291125062468,1.6491313123947813,-0.6428585950540604,-0.2922665493657671,1.6812952245410475,1.7532938128281887,Management Occupations,6713.675213675214,75748.87931034483,70141.29310344828
131031,"Claims Adjusters, Examiners, and Investigators",0.9366120230092908,-0.5156593722266439,2.4475054304247053,0.6864075973589434,-1.5057035353730883,-0.9495248689245448,-0.9643878790258152,1.7579847880071784,Business and Financial Operations Occupations,17795.05376344086,64719.48453608248,61370.82474226804
131051,Cost Estimators,0.008801396889315067,-0.443848748277156,-0.6725676081333284,-0.1509263148397335,-0.39119548746101057,-0.262027293569262,1.326683297387539,-0.8958830757728002,Business and Financial Operations Occupations,5084.144144144144,68028.87387387388,64270.76576576577
131071,Human Resources Specialists,1.1483011120557265,-0.7412292145150354,1.339486072724264,1.85152250149508,0.5174063815112988,-1.0093123975258718,0.04930100525902867,0.1967449137955512,Business and Financial Operations Occupations,7221.575178997613,63974.34988179669,60008.48699763593
